IBGE,UF,Município,Tipologia IBGE
250780,PB,JUNCO DO SERIDÓ,Rural Adjacente
250790,PB,JURIPIRANGA,Urbano
250800,PB,JURU,Rural Adjacente
250810,PB,LAGOA,Rural Adjacente
250820,PB,LAGOA DE DENTRO,Rural Adjacente
250830,PB,LAGOA SECA,Urbano
250850,PB,LIVRAMENTO,Rural Adjacente
250855,PB,LOGRADOURO,Rural Adjacente
250860,PB,LUCENA,Urbano
250870,PB,MÃE D'ÁGUA,Rural Adjacente
250880,PB,MALTA,Intermediário Adjacente
250890,PB,MAMANGUAPE,Urbano
250900,PB,MANAÍRA,Rural Adjacente
250905,PB,MARCAÇÃO,Rural Adjacente
250910,PB,MARI,Urbano
250915,PB,MARIZÓPOLIS,Intermediário Adjacente
250920,PB,MASSARANDUBA,Urbano
250930,PB,MATARACA,Intermediário Adjacente
250933,PB,MATINHAS,Rural Adjacente
250937,PB,MATO GROSSO,Rural Adjacente
250939,PB,MATURÉIA,Rural Adjacente
250940,PB,MOGEIRO,Rural Adjacente
250950,PB,MONTADAS,Rural Adjacente
250960,PB,MONTE HOREBE,Rural Adjacente
250970,PB,MONTEIRO,Intermediário Adjacente
250980,PB,MULUNGU,Rural Adjacente
250990,PB,NATUBA,Rural Adjacente
251000,PB,NAZAREZINHO,Rural Adjacente
251010,PB,NOVA FLORESTA,Urbano
251020,PB,NOVA OLINDA,Rural Adjacente
251030,PB,NOVA PALMEIRA,Rural Adjacente
251040,PB,OLHO D'ÁGUA,Rural Adjacente
251050,PB,OLIVEDOS,Rural Adjacente
251060,PB,OURO VELHO,Rural Adjacente
251065,PB,PARARI,Rural Adjacente
251070,PB,PASSAGEM,Rural Adjacente
251080,PB,PATOS,Urbano
251090,PB,PAULISTA,Rural Adjacente
251100,PB,PEDRA BRANCA,Rural Adjacente
251110,PB,PEDRA LAVRADA,Rural Adjacente
251120,PB,PEDRAS DE FOGO,Urbano
251130,PB,PIANCÓ,Intermediário Adjacente
251140,PB,PICUÍ,Intermediário Adjacente
251150,PB,PILAR,Rural Adjacente
251160,PB,PILÕES,Rural Adjacente
251170,PB,PILÕEZINHOS,Urbano
251180,PB,PIRPIRITUBA,Intermediário Adjacente
251190,PB,PITIMBU,Rural Adjacente
251200,PB,POCINHOS,Rural Adjacente
251203,PB,POÇO DANTAS,Rural Adjacente
251210,PB,POMBAL,Urbano
251220,PB,PRATA,Rural Adjacente
251230,PB,PRINCESA ISABEL,Intermediário Adjacente
251240,PB,PUXINANÃ,Urbano
251250,PB,QUEIMADAS,Urbano
251260,PB,QUIXABÁ,Urbano
251270,PB,REMÍGIO,Urbano
251272,PB,PEDRO RÉGIS,Rural Adjacente
251274,PB,RIACHÃO,Rural Adjacente
251275,PB,RIACHÃO DO BACAMARTE,Rural Adjacente
251276,PB,RIACHÃO DO POÇO,Rural Adjacente
251278,PB,RIACHO DE SANTO ANTÔNIO,Rural Adjacente
251280,PB,RIACHO DOS CAVALOS,Rural Adjacente
251290,PB,RIO TINTO,Urbano
251300,PB,SALGADINHO,Rural Adjacente
251310,PB,SALGADO DE SÃO FÉLIX,Rural Adjacente
251315,PB,SANTA CECÍLIA,Rural Adjacente
251320,PB,SANTA CRUZ,Rural Adjacente
251330,PB,SANTA HELENA,Rural Adjacente
251335,PB,SANTA INÊS,Rural Adjacente
251340,PB,SANTA LUZIA,Urbano
251350,PB,SANTANA DE MANGUEIRA,Rural Adjacente
251360,PB,SANTANA DOS GARROTES,Rural Adjacente
251365,PB,JOCA CLAUDINO,Rural Adjacente
251370,PB,SANTA RITA,Urbano
251380,PB,SANTA TERESINHA,Rural Adjacente
251385,PB,SANTO ANDRÉ,Rural Adjacente
251390,PB,SÃO BENTO,Urbano
251392,PB,SÃO BENTINHO,Rural Adjacente
251394,PB,SÃO DOMINGOS DO CARIRI,Rural Adjacente
251396,PB,SÃO DOMINGOS,Rural Adjacente
251398,PB,SÃO FRANCISCO,Rural Adjacente
251400,PB,SÃO JOÃO DO CARIRI,Rural Adjacente
251410,PB,SÃO JOÃO DO TIGRE,Rural Adjacente
251420,PB,SÃO JOSÉ DA LAGOA TAPADA,Rural Adjacente
251430,PB,SÃO JOSÉ DE CAIANA,Rural Adjacente
251440,PB,SÃO JOSÉ DE ESPINHARAS,Rural Adjacente
251445,PB,SÃO JOSÉ DOS RAMOS,Rural Adjacente
251450,PB,SÃO JOSÉ DE PIRANHAS,Rural Adjacente
251455,PB,SÃO JOSÉ DE PRINCESA,Rural Adjacente
251460,PB,SÃO JOSÉ DO BONFIM,Rural Adjacente
251465,PB,SÃO JOSÉ DO BREJO DO CRUZ,Rural Adjacente
251470,PB,SÃO JOSÉ DO SABUGI,Rural Adjacente
251480,PB,SÃO JOSÉ DOS CORDEIROS,Rural Adjacente
251500,PB,SÃO MIGUEL DE TAIPU,Rural Adjacente
251510,PB,"SÃO SEBASTIÃO DE LAGOA DEROÇA",Rural Adjacente
251520,PB,SÃO SEBASTIÃO DO UMBUZEIRO,Rural Adjacente
251530,PB,SAPÉ,Urbano
251540,PB,SÃO VICENTE DO SERIDÓ,Rural Adjacente
251550,PB,SERRA BRANCA,Rural Adjacente
251560,PB,SERRA DA RAIZ,Rural Adjacente
251570,PB,SERRA GRANDE,Rural Adjacente
251580,PB,SERRA REDONDA,Rural Adjacente
251590,PB,SERRARIA,Rural Adjacente
251593,PB,SERTÃOZINHO,Rural Adjacente
251597,PB,SOBRADO,Rural Adjacente
251600,PB,SOLÂNEA,Urbano
251610,PB,SOLEDADE,Rural Adjacente
251615,PB,SOSSÊGO,Rural Adjacente
251620,PB,SOUSA,Urbano
251630,PB,SUMÉ,Intermediário Adjacente
251640,PB,TACIMA,Rural Adjacente
251650,PB,TAPEROÁ,Rural Adjacente
251660,PB,TAVARES,Rural Adjacente
251670,PB,TEIXEIRA,Rural Adjacente
251675,PB,TENÓRIO,Rural Adjacente
251680,PB,TRIUNFO,Rural Adjacente
251690,PB,UIRAÚNA,Intermediário Adjacente
251700,PB,UMBUZEIRO,Rural Adjacente
251710,PB,VÁRZEA,Rural Adjacente
251720,PB,VIEIRÓPOLIS,Rural Adjacente
251740,PB,ZABELÊ,Rural Adjacente
260005,PE,ABREU E LIMA,Urbano
260010,PE,AFOGADOS DA INGAZEIRA,Urbano
260020,PE,AFRÂNIO,Rural Adjacente
260030,PE,AGRESTINA,Intermediário Adjacente
260040,PE,ÁGUA PRETA,Intermediário Adjacente
260050,PE,ÁGUAS BELAS,Intermediário Adjacente
260060,PE,ALAGOINHA,Rural Adjacente
260070,PE,ALIANÇA,Intermediário Adjacente
260080,PE,ALTINHO,Intermediário Adjacente
260090,PE,AMARAJI,Urbano
260100,PE,ANGELIM,Rural Adjacente
260105,PE,ARAÇOIABA,Urbano
260110,PE,ARARIPINA,Intermediário Adjacente
260120,PE,ARCOVERDE,Urbano
260130,PE,BARRA DE GUABIRABA,Urbano
260150,PE,BELÉM DE MARIA,Intermediário Adjacente
260160,PE,BELÉM DO SÃO FRANCISCO,Intermediário Adjacente
260170,PE,BELO JARDIM,Urbano
260180,PE,BETÂNIA,Rural Adjacente
260190,PE,BEZERROS,Urbano
260200,PE,BODOCÓ,Rural Adjacente
260210,PE,BOM CONSELHO,Urbano
260220,PE,BOM JARDIM,Rural Adjacente
260230,PE,BONITO,Intermediário Adjacente
260240,PE,BREJÃO,Rural Adjacente
260250,PE,BREJINHO,Rural Adjacente
260260,PE,BREJO DA MADRE DE DEUS,Urbano
260270,PE,BUENOS AIRES,Rural Adjacente
260280,PE,BUÍQUE,Rural Adjacente
260290,PE,CABO DE SANTO AGOSTINHO,Urbano
260300,PE,CABROBÓ,Intermediário Adjacente
260310,PE,CACHOEIRINHA,Urbano
260320,PE,CAETÉS,Rural Adjacente
260330,PE,CALÇADO,Rural Adjacente
260340,PE,CALUMBI,Rural Adjacente
260345,PE,CAMARAGIBE,Urbano
260350,PE,CAMOCIM DE SÃO FÉLIX,Urbano
260360,PE,CAMUTANGA,Urbano
260370,PE,CANHOTINHO,Rural Adjacente
260380,PE,CAPOEIRAS,Rural Adjacente
260390,PE,CARNAÍBA,Rural Adjacente
260392,PE,CARNAUBEIRA DA PENHA,Rural Adjacente
260400,PE,CARPINA,Urbano
260410,PE,CARUARU,Urbano
260415,PE,CASINHAS,Rural Adjacente
260420,PE,CATENDE,Urbano
260430,PE,CEDRO,Rural Adjacente
260440,PE,CHÃ DE ALEGRIA,Intermediário Adjacente
260450,PE,CHÃ GRANDE,Intermediário Adjacente
260460,PE,CONDADO,Urbano
260470,PE,CORRENTES,Rural Adjacente
260480,PE,CORTÊS,Rural Adjacente
260490,PE,CUMARU,Rural Adjacente
260500,PE,CUPIRA,Urbano
260510,PE,CUSTÓDIA,Intermediário Adjacente
260515,PE,DORMENTES,Rural Adjacente
260520,PE,ESCADA,Urbano
260530,PE,EXU,Rural Adjacente
260540,PE,FEIRA NOVA,Urbano
260550,PE,FERREIROS,Intermediário Adjacente
260560,PE,FLORES,Rural Adjacente
260570,PE,FLORESTA,Intermediário Adjacente
260580,PE,FREI MIGUELINHO,Rural Adjacente
260590,PE,GAMELEIRA,Intermediário Adjacente
260600,PE,GARANHUNS,Urbano
260610,PE,GLÓRIA DO GOITÁ,Intermediário Adjacente
260620,PE,GOIANA,Urbano
260630,PE,GRANITO,Rural Adjacente
260640,PE,GRAVATÁ,Urbano
260650,PE,IATI,Rural Adjacente
260660,PE,IBIMIRIM,Intermediário Adjacente
260670,PE,IBIRAJUBA,Rural Adjacente
260680,PE,IGARASSU,Urbano
260690,PE,IGUARACY,Rural Adjacente
260700,PE,INAJÁ,Rural Adjacente
260710,PE,INGAZEIRA,Rural Adjacente
260720,PE,IPOJUCA,Urbano
260730,PE,IPUBI,Intermediário Adjacente
260740,PE,ITACURUBA,Intermediário Remoto
260750,PE,ITAÍBA,Rural Adjacente
260760,PE,ILHA DE ITAMARACÁ,Urbano
260765,PE,ITAMBÉ,Urbano
260770,PE,ITAPETIM,Rural Adjacente
260775,PE,ITAPISSUMA,Urbano
260780,PE,ITAQUITINGA,Urbano
260790,PE,JABOATÃO DOS GUARARAPES,Urbano
260795,PE,JAQUEIRA,Rural Adjacente
260800,PE,JATAÚBA,Rural Adjacente
260805,PE,JATOBÁ,Rural Adjacente
260810,PE,JOÃO ALFREDO,Intermediário Adjacente
260820,PE,JOAQUIM NABUCO,Urbano
260825,PE,JUCATI,Rural Adjacente
260830,PE,JUPI,Rural Adjacente
260840,PE,JUREMA,Rural Adjacente
260845,PE,LAGOA DO CARRO,Intermediário Adjacente
260850,PE,LAGOA DE ITAENGA,Urbano
260860,PE,LAGOA DO OURO,Rural Adjacente
260870,PE,LAGOA DOS GATOS,Rural Adjacente
260875,PE,LAGOA GRANDE,Intermediário Adjacente
260880,PE,LAJEDO,Urbano
260890,PE,LIMOEIRO,Urbano
260900,PE,MACAPARANA,Intermediário Adjacente
260910,PE,MACHADOS,Rural Adjacente
260920,PE,MARAIAL,Rural Adjacente
260930,PE,MIRANDIBA,Rural Adjacente
260940,PE,MORENO,Urbano
260950,PE,NAZARÉ DA MATA,Urbano
260960,PE,OLINDA,Urbano
260970,PE,OROBÓ,Rural Adjacente
260980,PE,OROCÓ,Rural Adjacente
260990,PE,OURICURI,Intermediário Adjacente
261000,PE,PALMARES,Urbano
261010,PE,PALMEIRINA,Rural Adjacente
261020,PE,PANELAS,Rural Adjacente
261030,PE,PARANATAMA,Rural Adjacente
261040,PE,PARNAMIRIM,Rural Adjacente
261050,PE,PASSIRA,Rural Adjacente
261060,PE,PAUDALHO,Urbano
261070,PE,PAULISTA,Urbano
261080,PE,PEDRA,Rural Adjacente
261090,PE,PESQUEIRA,Urbano
261100,PE,PETROLÂNDIA,Intermediário Adjacente
261110,PE,PETROLINA,Urbano
261120,PE,POÇÃO,Rural Adjacente
261130,PE,POMBOS,Intermediário Adjacente
261140,PE,PRIMAVERA,Rural Adjacente
261150,PE,QUIPAPÁ,Rural Adjacente
261153,PE,QUIXABA,Rural Adjacente
261160,PE,RECIFE,Urbano
261170,PE,RIACHO DAS ALMAS,Rural Adjacente
261180,PE,RIBEIRÃO,Urbano
261190,PE,RIO FORMOSO,Intermediário Adjacente
261200,PE,SAIRÉ,Rural Adjacente
261210,PE,SALGADINHO,Rural Adjacente
261220,PE,SALGUEIRO,Urbano
261230,PE,SALOÁ,Rural Adjacente
261240,PE,SANHARÓ,Rural Adjacente
261245,PE,SANTA CRUZ,Rural Adjacente
261247,PE,SANTA CRUZ DA BAIXA VERDE,Rural Adjacente
261250,PE,SANTA CRUZ DO CAPIBARIBE,Urbano
261255,PE,SANTA FILOMENA,Rural Adjacente
261260,PE,SANTA MARIA DA BOA VISTA,Rural Adjacente
261270,PE,SANTA MARIA DO CAMBUCÁ,Rural Adjacente
261280,PE,SANTA TEREZINHA,Rural Adjacente
261290,PE,SÃO BENEDITO DO SUL,Rural Adjacente
261300,PE,SÃO BENTO DO UNA,Intermediário Adjacente
261310,PE,SÃO CAITANO,Intermediário Adjacente
261330,PE,SÃO JOAQUIM DO MONTE,Intermediário Adjacente
261340,PE,SÃO JOSÉ DA COROA GRANDE,Urbano
261350,PE,SÃO JOSÉ DO BELMONTE,Rural Adjacente
261360,PE,SÃO JOSÉ DO EGITO,Intermediário Adjacente
261370,PE,SÃO LOURENÇO DA MATA,Urbano
261380,PE,SÃO VICENTE FERRER,Intermediário Adjacente
261390,PE,SERRA TALHADA,Urbano
261400,PE,SERRITA,Rural Adjacente
261410,PE,SERTÂNIA,Intermediário Adjacente
261420,PE,SIRINHAÉM,Intermediário Adjacente
261430,PE,MOREILÂNDIA,Rural Adjacente
261440,PE,SOLIDÃO,Rural Adjacente
261450,PE,SURUBIM,Urbano
261460,PE,TABIRA,Intermediário Adjacente
261470,PE,TACAIMBÓ,Rural Adjacente
261480,PE,TACARATU,Rural Adjacente
261485,PE,TAMANDARÉ,Intermediário Adjacente
261500,PE,TAQUARITINGA DO NORTE,Intermediário Adjacente
261510,PE,TEREZINHA,Rural Adjacente
261520,PE,TERRA NOVA,Rural Adjacente
261530,PE,TIMBAÚBA,Urbano
261540,PE,TORITAMA,Urbano
261550,PE,TRACUNHAÉM,Urbano
261560,PE,TRINDADE,Urbano
261570,PE,TRIUNFO,Rural Adjacente
261580,PE,TUPANATINGA,Rural Adjacente
261590,PE,TUPARETAMA,Rural Adjacente
261600,PE,VENTUROSA,Rural Adjacente
261610,PE,VERDEJANTE,Rural Adjacente
261618,PE,VERTENTE DO LÉRIO,Rural Adjacente
261620,PE,VERTENTES,Rural Adjacente
261630,PE,VICÊNCIA,Intermediário Adjacente
261640,PE,VITÓRIA DE SANTO ANTÃO,Urbano
261650,PE,XEXÉU,Rural Adjacente
270010,AL,ÁGUA BRANCA,Rural Adjacente
270020,AL,ANADIA,Intermediário Adjacente
270030,AL,ARAPIRACA,Urbano
270040,AL,ATALAIA,Urbano
270050,AL,BARRA DE SANTO ANTÔNIO,Urbano
270060,AL,BARRA DE SÃO MIGUEL,Rural Adjacente
270070,AL,BATALHA,Intermediário Adjacente
270080,AL,BELÉM,Rural Adjacente
270090,AL,BELO MONTE,Rural Adjacente
270100,AL,BOCA DA MATA,Urbano
270120,AL,CACIMBINHAS,Rural Adjacente
270130,AL,CAJUEIRO,Urbano
270135,AL,CAMPESTRE,Rural Adjacente
270140,AL,CAMPO ALEGRE,Urbano
270150,AL,CAMPO GRANDE,Rural Adjacente
270160,AL,CANAPI,Rural Adjacente
270170,AL,CAPELA,Intermediário Adjacente
270180,AL,CARNEIROS,Rural Adjacente
270190,AL,CHÃ PRETA,Rural Adjacente
270200,AL,COITÉ DO NÓIA,Rural Adjacente
270210,AL,COLÔNIA LEOPOLDINA,Urbano
270220,AL,COQUEIRO SECO,Urbano
270230,AL,CORURIPE,Urbano
270235,AL,CRAÍBAS,Rural Adjacente
270240,AL,DELMIRO GOUVEIA,Urbano
270250,AL,DOIS RIACHOS,Rural Adjacente
270255,AL,ESTRELA DE ALAGOAS,Rural Adjacente
270260,AL,FEIRA GRANDE,Rural Adjacente
270270,AL,FELIZ DESERTO,Intermediário Adjacente
270280,AL,FLEXEIRAS,Urbano
270290,AL,GIRAU DO PONCIANO,Rural Adjacente
270300,AL,IBATEGUARA,Rural Adjacente
270310,AL,IGACI,Rural Adjacente
270320,AL,IGREJA NOVA,Rural Adjacente
270330,AL,INHAPI,Rural Adjacente
270340,AL,JACARÉ DOS HOMENS,Rural Adjacente
270350,AL,JACUÍPE,Rural Adjacente
270360,AL,JAPARATINGA,Rural Adjacente
270370,AL,JARAMATAIA,Rural Adjacente
270375,AL,JEQUIÁ DA PRAIA,Rural Adjacente
270380,AL,JOAQUIM GOMES,Rural Adjacente
270390,AL,JUNDIÁ,Rural Adjacente
270400,AL,JUNQUEIRO,Rural Adjacente
270410,AL,LAGOA DA CANOA,Rural Adjacente
270420,AL,LIMOEIRO DE ANADIA,Rural Adjacente
270430,AL,MACEIÓ,Urbano
270440,AL,MAJOR ISIDORO,Rural Adjacente
270450,AL,MARAGOGI,Urbano
270460,AL,MARAVILHA,Rural Adjacente
270470,AL,MARECHAL DEODORO,Urbano
270480,AL,MARIBONDO,Rural Adjacente
270490,AL,MAR VERMELHO,Rural Adjacente
270500,AL,MATA GRANDE,Rural Adjacente
270510,AL,MATRIZ DE CAMARAGIBE,Urbano
270530,AL,MINADOR DO NEGRÃO,Rural Adjacente
270540,AL,MONTEIRÓPOLIS,Rural Adjacente
270550,AL,MURICI,Urbano
270560,AL,NOVO LINO,Rural Adjacente
270570,AL,OLHO D'ÁGUA DAS FLORES,Intermediário Adjacente
270580,AL,OLHO D'ÁGUA DO CASADO,Rural Adjacente
270590,AL,OLHO D'ÁGUA GRANDE,Rural Adjacente
270600,AL,OLIVENÇA,Rural Adjacente
270610,AL,OURO BRANCO,Rural Adjacente
270620,AL,PALESTINA,Rural Adjacente
270630,AL,PALMEIRA DOS ÍNDIOS,Urbano
270640,AL,PÃO DE AÇÚCAR,Rural Adjacente
270642,AL,PARICONHA,Rural Adjacente
270644,AL,PARIPUEIRA,Urbano
270650,AL,PASSO DE CAMARAGIBE,Rural Adjacente
270660,AL,PAULO JACINTO,Rural Adjacente
270670,AL,PENEDO,Urbano
270680,AL,PIAÇABUÇU,Rural Adjacente
270690,AL,PILAR,Urbano
270700,AL,PINDOBA,Rural Adjacente
270710,AL,PIRANHAS,Intermediário Adjacente
270720,AL,POÇO DAS TRINCHEIRAS,Rural Adjacente
270730,AL,PORTO CALVO,Urbano
270740,AL,PORTO DE PEDRAS,Rural Adjacente
270750,AL,PORTO REAL DO COLÉGIO,Rural Adjacente
270760,AL,QUEBRANGULO,Rural Adjacente
270770,AL,RIO LARGO,Urbano
270780,AL,ROTEIRO,Intermediário Adjacente
270790,AL,SANTA LUZIA DO NORTE,Urbano
270800,AL,SANTANA DO IPANEMA,Urbano
270810,AL,SANTANA DO MUNDAÚ,Rural Adjacente
270820,AL,SÃO BRÁS,Rural Adjacente
270830,AL,SÃO JOSÉ DA LAJE,Intermediário Adjacente
270840,AL,SÃO JOSÉ DA TAPERA,Rural Adjacente
270850,AL,SÃO LUÍS DO QUITUNDE,Intermediário Adjacente
270860,AL,SÃO MIGUEL DOS CAMPOS,Urbano
270870,AL,SÃO MIGUEL DOS MILAGRES,Rural Adjacente
270880,AL,SÃO SEBASTIÃO,Rural Adjacente
270890,AL,SATUBA,Urbano
270895,AL,SENADOR RUI PALMEIRA,Rural Adjacente
270900,AL,TANQUE D'ARCA,Rural Adjacente
270910,AL,TAQUARANA,Rural Adjacente
270915,AL,TEOTÔNIO VILELA,Urbano
270920,AL,TRAIPU,Rural Adjacente
270940,AL,VIÇOSA,Urbano
280010,SE,AMPARO DE SÃO FRANCISCO,Rural Adjacente
280020,SE,AQUIDABÃ,Intermediário Adjacente
280030,SE,ARACAJU,Urbano
280040,SE,ARAUÁ,Rural Adjacente
280050,SE,AREIA BRANCA,Rural Adjacente
280060,SE,BARRA DOS COQUEIROS,Urbano
280067,SE,BOQUIM,Intermediário Adjacente
280070,SE,BREJO GRANDE,Rural Adjacente
280100,SE,CAMPO DO BRITO,Rural Adjacente
280110,SE,CANHOBA,Rural Adjacente
280120,SE,CANINDÉ DE SÃO FRANCISCO,Intermediário Adjacente
280130,SE,CAPELA,Intermediário Adjacente
280140,SE,CARIRA,Rural Adjacente
280150,SE,CARMÓPOLIS,Urbano
280160,SE,CEDRO DE SÃO JOÃO,Intermediário Adjacente
280170,SE,CRISTINÁPOLIS,Rural Adjacente
280190,SE,CUMBE,Rural Adjacente
280200,SE,DIVINA PASTORA,Urbano
280210,SE,ESTÂNCIA,Urbano
280220,SE,FEIRA NOVA,Rural Adjacente
280230,SE,FREI PAULO,Rural Adjacente
280240,SE,GARARU,Rural Adjacente
280250,SE,GENERAL MAYNARD,Urbano
280260,SE,GRACHO CARDOSO,Rural Adjacente
280270,SE,ILHA DAS FLORES,Rural Adjacente
280280,SE,INDIAROBA,Rural Adjacente
280290,SE,ITABAIANA,Urbano
280300,SE,ITABAIANINHA,Rural Adjacente
280310,SE,ITABI,Rural Adjacente
280320,SE,ITAPORANGA D'AJUDA,Rural Adjacente
280330,SE,JAPARATUBA,Rural Adjacente
280340,SE,JAPOATÃ,Rural Adjacente
280350,SE,LAGARTO,Urbano
280360,SE,LARANJEIRAS,Urbano
280370,SE,MACAMBIRA,Rural Adjacente
280380,SE,MALHADA DOS BOIS,Rural Adjacente
280390,SE,MALHADOR,Rural Adjacente
280400,SE,MARUIM,Urbano
280410,SE,MOITA BONITA,Rural Adjacente
280420,SE,MONTE ALEGRE DE SERGIPE,Rural Adjacente
280430,SE,MURIBECA,Rural Adjacente
280440,SE,NEÓPOLIS,Urbano
280445,SE,NOSSA SENHORA APARECIDA,Rural Adjacente
280460,SE,NOSSA SENHORA DAS DORES,Intermediário Adjacente
280470,SE,NOSSA SENHORA DE LOURDES,Rural Adjacente
280480,SE,NOSSA SENHORA DO SOCORRO,Urbano
280490,SE,PACATUBA,Rural Adjacente
280500,SE,PEDRA MOLE,Rural Adjacente
280510,SE,PEDRINHAS,Rural Adjacente
280520,SE,PINHÃO,Rural Adjacente
280530,SE,PIRAMBU,Rural Adjacente
280540,SE,POÇO REDONDO,Rural Adjacente
280550,SE,POÇO VERDE,Intermediário Adjacente
280560,SE,PORTO DA FOLHA,Rural Adjacente
280570,SE,PROPRIÁ,Urbano
280580,SE,RIACHÃO DO DANTAS,Rural Adjacente
280590,SE,RIACHUELO,Urbano
280600,SE,RIBEIRÓPOLIS,Intermediário Adjacente
280610,SE,ROSÁRIO DO CATETE,Urbano
280620,SE,SALGADO,Rural Adjacente
280630,SE,SANTA LUZIA DO ITANHY,Rural Adjacente
280640,SE,SANTANA DO SÃO FRANCISCO,Rural Adjacente
280650,SE,SANTA ROSA DE LIMA,Rural Adjacente
280660,SE,SANTO AMARO DAS BROTAS,Rural Adjacente
280670,SE,SÃO CRISTÓVÃO,Urbano
280680,SE,SÃO DOMINGOS,Rural Adjacente
280690,SE,SÃO FRANCISCO,Rural Adjacente
280700,SE,SÃO MIGUEL DO ALEIXO,Rural Adjacente
280710,SE,SIMÃO DIAS,Intermediário Adjacente
280720,SE,SIRIRI,Urbano
280730,SE,TELHA,Rural Adjacente
280740,SE,TOBIAS BARRETO,Urbano
280750,SE,TOMAR DO GERU,Rural Adjacente
280760,SE,UMBAÚBA,Intermediário Adjacente
290010,BA,ABAÍRA,Rural Remoto
290020,BA,ABARÉ,Rural Remoto
290030,BA,ACAJUTIBA,Rural Adjacente
290035,BA,ADUSTINA,Rural Adjacente
290040,BA,ÁGUA FRIA,Rural Adjacente
290050,BA,ÉRICO CARDOSO,Rural Adjacente
290060,BA,AIQUARA,Rural Adjacente
290070,BA,ALAGOINHAS,Urbano
290080,BA,ALCOBAÇA,Rural Adjacente
290090,BA,ALMADINA,Intermediário Adjacente
290100,BA,AMARGOSA,Intermediário Adjacente
290110,BA,AMÉLIA RODRIGUES,Intermediário Adjacente
290115,BA,AMÉRICA DOURADA,Rural Adjacente
290130,BA,ANDARAÍ,Rural Adjacente
290135,BA,ANDORINHA,Rural Adjacente
290140,BA,ANGICAL,Rural Adjacente
290150,BA,ANGUERA,Rural Adjacente
290160,BA,ANTAS,Rural Adjacente
290170,BA,ANTÔNIO CARDOSO,Rural Adjacente
290180,BA,ANTÔNIO GONÇALVES,Rural Adjacente
290190,BA,APORÁ,Rural Adjacente
290195,BA,APUAREMA,Rural Adjacente
290200,BA,ARACATU,Rural Adjacente
290205,BA,ARAÇAS,Rural Adjacente
290210,BA,ARACI,Rural Adjacente
290220,BA,ARAMARI,Rural Adjacente
290225,BA,ARATACA,Rural Adjacente
290230,BA,ARATUÍPE,Rural Adjacente
290240,BA,AURELINO LEAL,Intermediário Adjacente
290250,BA,BAIANÓPOLIS,Rural Adjacente
290260,BA,BAIXA GRANDE,Rural Adjacente
290265,BA,BANZAÊ,Rural Adjacente
290270,BA,BARRA,Rural Remoto
290280,BA,BARRA DA ESTIVA,Rural Adjacente
290290,BA,BARRA DO CHOÇA,Intermediário Adjacente
290300,BA,BARRA DO MENDES,Rural Adjacente
290310,BA,BARRA DO ROCHA,Rural Adjacente
290320,BA,BARREIRAS,Urbano
290323,BA,BARRO ALTO,Rural Adjacente
290327,BA,BARROCAS,Rural Adjacente
290330,BA,BARRO PRETO,Rural Adjacente
290340,BA,BELMONTE,Intermediário Adjacente
290350,BA,BELO CAMPO,Rural Adjacente
290360,BA,BIRITINGA,Rural Adjacente
290370,BA,BOA NOVA,Rural Adjacente
290380,BA,BOA VISTA DO TUPIM,Rural Adjacente
290390,BA,BOM JESUS DA LAPA,Urbano
290395,BA,BOM JESUS DA SERRA,Rural Adjacente
290400,BA,BONINAL,Rural Remoto
290405,BA,BONITO,Rural Adjacente
290410,BA,BOQUIRA,Rural Remoto
290420,BA,BOTUPORÃ,Rural Adjacente
290430,BA,BREJÕES,Rural Adjacente
290440,BA,BREJOLÂNDIA,Rural Adjacente
290450,BA,BROTAS DE MACAÚBAS,Rural Remoto
290460,BA,BRUMADO,Urbano
290470,BA,BUERAREMA,Intermediário Adjacente
290480,BA,CAATIBA,Rural Adjacente
290485,BA,CABACEIRAS DO PARAGUAÇU,Rural Adjacente
290490,BA,CACHOEIRA,Urbano
290500,BA,CACULÉ,Intermediário Adjacente
290510,BA,CAÉM,Rural Adjacente
290515,BA,CAETANOS,Rural Adjacente
290520,BA,CAETITÉ,Intermediário Adjacente
290530,BA,CAFARNAUM,Rural Adjacente
290540,BA,CAIRU,Rural Adjacente
290550,BA,CALDEIRÃO GRANDE,Rural Adjacente
290560,BA,CAMACAN,Intermediário Adjacente
290570,BA,CAMAÇARI,Urbano
290580,BA,CAMAMU,Rural Adjacente
290590,BA,CAMPO ALEGRE DE LOURDES,Rural Adjacente
290600,BA,CAMPO FORMOSO,Intermediário Adjacente
290610,BA,CANÁPOLIS,Rural Adjacente
290620,BA,CANARANA,Rural Adjacente
290630,BA,CANAVIEIRAS,Urbano
290640,BA,CANDEAL,Rural Adjacente
290650,BA,CANDEIAS,Urbano
290660,BA,CANDIBA,Rural Adjacente
290670,BA,CÂNDIDO SALES,Intermediário Adjacente
290680,BA,CANSANÇÃO,Rural Adjacente
290682,BA,CANUDOS,Rural Adjacente
290685,BA,CAPELA DO ALTO ALEGRE,Rural Adjacente
290687,BA,CAPIM GROSSO,Urbano
290689,BA,CARAÍBAS,Rural Adjacente
290690,BA,CARAVELAS,Rural Adjacente
290700,BA,CARDEAL DA SILVA,Rural Adjacente
290710,BA,CARINHANHA,Rural Adjacente
290720,BA,CASA NOVA,Urbano
290730,BA,CASTRO ALVES,Intermediário Adjacente
290740,BA,CATOLÂNDIA,Rural Adjacente
